ãCè€í°ÅuâﬂãéÇÃãCè€ÉfÅ[É^ÅEÉ_ÉEÉìÉçÅ[ÉhÅvÇÊÇËéÊìæ 2026/03/18 10:31:25

,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR
2023/1/8,6.6,8,1,4.8,8,12.9,8,1,9.9,8,1.7,8,1,0.4,8,0.0,0,8,1,1.1,,8,3.3,8,1,,0,8.6,8,êºìÏêº,8,1,,0
2023/1/9,6.6,8,1,4.8,8,13.8,8,1,9.8,8,-0.9,8,1,0.4,8,0.0,0,8,1,1.1,,8,2.6,8,1,,0,10.5,8,ìÏêº,8,1,,0
2023/1/10,5.9,8,1,4.8,8,10.1,8,1,9.8,8,0.1,8,1,0.4,8,0.0,0,8,1,1.2,,8,3.4,8,1,,0,12.6,8,ñkêº,8,1,,0
2023/1/11,3.7,8,1,4.8,8,11.9,8,1,9.8,8,-2.6,8,1,0.4,8,0,1,8,1,1.2,,8,1.5,8,1,,0,5.0,8,ìåìÏìå,8,1,,0
2023/1/12,6.1,8,1,4.7,8,14.5,8,1,9.7,8,-0.8,8,1,0.3,8,0,1,8,1,1.2,,8,1.3,8,1,,0,4.1,8,ñkìå,8,1,,0
2023/1/13,8.0,8,1,4.7,8,12.0,8,1,9.7,8,3.2,8,1,0.3,8,10.5,0,8,1,1.3,,8,1.4,8,1,,0,5.0,8,ñkìå,8,1,,0
2023/1/14,12.6,8,1,4.7,8,15.7,8,1,9.7,8,10.1,8,1,0.3,8,5.0,0,8,1,1.3,,8,1.6,8,1,,0,7.0,8,ñkñkêº,8,1,,0
2023/1/15,11.3,8,1,4.6,8,12.9,8,1,9.6,8,9.1,8,1,0.3,8,0.0,0,8,1,1.3,,8,1.7,8,1,,0,6.5,8,ñk,8,1,,0
2023/1/16,8.7,8,1,4.6,8,12.0,8,1,9.6,8,2.3,8,1,0.2,8,0.0,0,8,1,1.3,,8,3.2,8,1,,0,11.5,8,ñk,8,1,,0
2023/1/17,4.2,8,1,4.5,8,9.5,8,1,9.5,8,-0.4,8,1,0.2,8,0,1,8,1,1.3,,8,1.9,8,1,,0,6.2,8,ìÏìÏìå,8,1,,0
2023/1/18,5.4,8,1,4.5,8,11.3,8,1,9.5,8,1.2,8,1,0.1,8,0.0,0,8,1,1.4,,8,1.9,8,1,,0,8.4,8,ñkñkêº,8,1,,0
2023/1/19,4.8,8,1,4.4,8,9.9,8,1,9.4,8,0.8,8,1,0.1,8,0,1,8,1,1.4,,8,2.0,8,1,,0,6.4,8,êºìÏêº,8,1,,0
2023/1/20,5.4,8,1,4.4,8,11.8,8,1,9.4,8,0.1,8,1,0.0,8,0.0,0,8,1,1.4,,8,4.4,8,1,,0,15.5,8,êºñkêº,8,1,,0
2023/1/21,3.9,8,1,4.3,8,10.1,8,1,9.3,8,-1.0,8,1,0.0,8,0,1,8,1,1.4,,8,2.3,8,1,,0,9.2,8,êºìÏêº,8,1,,0
2023/1/22,3.7,8,1,4.3,8,8.8,8,1,9.3,8,-2.5,8,1,-0.1,8,0,1,8,1,1.4,,8,1.4,8,1,,0,4.6,8,ñk,8,1,,0
2023/1/23,4.7,8,1,4.2,8,7.9,8,1,9.3,8,2.7,8,1,-0.1,8,2.0,0,8,1,1.3,,8,1.9,8,1,,0,8.9,8,ñk,8,1,,0
2023/1/24,2.2,8,1,4.2,8,7.1,8,1,9.2,8,-2.8,8,1,-0.2,8,0.0,0,8,1,1.3,,8,6.5,8,1,,0,26.0,8,êºñkêº,8,1,,0
2023/1/25,-0.5,8,1,4.2,8,4.3,8,1,9.2,8,-4.2,8,1,-0.2,8,0.0,0,8,1,1.3,,8,5.3,8,1,,0,12.9,8,êº,8,1,,0
2023/1/26,1.8,8,1,4.2,8,7.1,8,1,9.2,8,-4.0,8,1,-0.3,8,0,1,8,1,1.3,,8,3.3,8,1,,0,12.0,8,êº,8,1,,0
2023/1/27,2.5,8,1,4.1,8,8.5,8,1,9.2,8,0.3,8,1,-0.3,8,0.5,0,8,1,1.3,,8,3.8,8,1,,0,17.5,8,êºñkêº,8,1,,0
2023/1/28,1.2,8,1,4.1,8,6.8,8,1,9.2,8,-2.7,8,1,-0.3,8,0.0,0,8,1,1.2,,8,5.3,8,1,,0,15.7,8,êºñkêº,8,1,,0
2023/1/29,1.3,8,1,4.1,8,7.9,8,1,9.3,8,-3.4,8,1,-0.3,8,0.0,0,8,1,1.2,,8,4.2,8,1,,0,12.9,8,êºìÏêº,8,1,,0
2023/1/30,2.3,8,1,4.2,8,9.5,8,1,9.3,8,-2.5,8,1,-0.3,8,0.0,0,8,1,1.1,,8,3.8,8,1,,0,14.6,8,êºñkêº,8,1,,0
2023/1/31,2.5,8,1,4.2,8,9.7,8,1,9.3,8,-3.4,8,1,-0.3,8,0,1,8,1,1.1,,8,2.0,8,1,,0,8.2,8,êºìÏêº,8,1,,0
2023/2/1,4.0,8,1,4.2,8,9.0,8,1,9.4,8,-2.0,8,1,-0.3,8,0.0,0,8,1,1.1,,8,1.6,8,1,,0,9.6,8,ñkñkêº,8,1,,0
2023/2/2,5.6,8,1,4.3,8,9.2,8,1,9.5,8,2.8,8,1,-0.3,8,0,1,8,1,1.1,,8,2.5,8,1,,0,10.7,8,ñkñkêº,8,1,,0
2023/2/3,4.9,8,1,4.3,8,10.4,8,1,9.5,8,0.4,8,1,-0.2,8,0,1,8,1,1.0,,8,1.3,8,1,,0,5.4,8,ìÏìÏìå,8,1,,0
2023/2/4,4.7,8,1,4.4,8,11.9,8,1,9.6,8,-1.0,8,1,-0.2,8,0,1,8,1,1.0,,8,3.1,8,1,,0,12.5,8,êºñkêº,8,1,,0
2023/2/5,4.3,8,1,4.4,8,11.7,8,1,9.7,8,-2.1,8,1,-0.1,8,0,1,8,1,1.1,,8,1.7,8,1,,0,6.7,8,ìÏ,8,1,,0
2023/2/6,4.6,8,1,4.5,8,10.1,8,1,9.8,8,-2.0,8,1,-0.1,8,0,1,8,1,1.1,,8,1.1,8,1,,0,4.4,8,ìÏ,8,1,,0
2023/2/7,7.0,8,1,4.6,8,10.5,8,1,9.8,8,4.2,8,1,0.0,8,0.5,0,8,1,1.1,,8,1.7,8,1,,0,6.4,8,êºìÏêº,8,1,,0
2023/2/8,7.1,8,1,4.6,8,14.5,8,1,9.9,8,0.9,8,1,0.0,8,0.0,0,8,1,1.2,,8,3.4,8,1,,0,13.2,8,ñkêº,8,1,,0
2023/2/9,5.6,8,1,4.7,8,11.2,8,1,10.0,8,0.3,8,1,0.1,8,0,1,8,1,1.2,,8,2.4,8,1,,0,9.7,8,ìåìÏìå,8,1,,0
2023/2/10,5.2,8,1,4.8,8,7.1,8,1,10.1,8,2.5,8,1,0.2,8,9.0,0,8,1,1.3,,8,3.2,8,1,,0,9.5,8,ñkìå,8,1,,0
2023/2/11,7.4,8,1,4.9,8,14.2,8,1,10.2,8,1.1,8,1,0.2,8,0,1,8,1,1.4,,8,1.8,8,1,,0,5.9,8,ìÏìå,8,1,,0
2023/2/12,8.6,8,1,5.0,8,15.7,8,1,10.3,8,2.3,8,1,0.3,8,0.0,0,8,1,1.4,,8,1.6,8,1,,0,5.6,8,ñkìå,8,1,,0
2023/2/13,8.4,8,1,5.0,8,10.8,8,1,10.4,8,4.9,8,1,0.4,8,5.5,0,8,1,1.5,,8,2.9,8,1,,0,10.9,8,ñk,8,1,,0
2023/2/14,4.7,8,1,5.1,8,8.9,8,1,10.4,8,1.4,8,1,0.4,8,0.0,0,8,1,1.6,,8,4.0,8,1,,0,12.5,8,ñkñkêº,8,1,,0
2023/2/15,2.6,8,1,5.2,8,6.9,8,1,10.5,8,0.0,8,1,0.5,8,0.0,0,8,1,1.6,,8,3.6,8,1,,0,14.5,8,ñkñkêº,8,1,,0
2023/2/16,3.7,8,1,5.3,8,9.2,8,1,10.6,8,0.0,8,1,0.5,8,0,1,8,1,1.7,,8,2.1,8,1,,0,7.7,8,ñkñkêº,8,1,,0
2023/2/17,5.1,8,1,5.4,8,13.1,8,1,10.7,8,-2.1,8,1,0.6,8,0,1,8,1,1.8,,8,1.9,8,1,,0,7.9,8,ìÏìÏêº,8,1,,0
2023/2/18,7.7,8,1,5.4,8,9.5,8,1,10.8,8,6.1,8,1,0.7,8,1.5,0,8,1,1.8,,8,1.4,8,1,,0,4.3,8,ñkñkêº,8,1,,0
2023/2/19,9.2,8,1,5.5,8,14.3,8,1,10.9,8,3.6,8,1,0.8,8,6.5,0,8,1,1.9,,8,2.4,8,1,,0,13.2,8,êº,8,1,,0
2023/2/20,5.6,8,1,5.6,8,11.0,8,1,11.0,8,1.4,8,1,0.8,8,0,1,8,1,1.9,,8,4.6,8,1,,0,15.1,8,ñkêº,8,1,,0
2023/2/21,2.8,8,1,5.8,8,6.9,8,1,11.2,8,-0.1,8,1,0.9,8,0.0,0,8,1,2.0,,8,3.9,8,1,,0,14.8,8,ñk,8,1,,0
2023/2/22,4.6,8,1,5.9,8,9.0,8,1,11.3,8,1.7,8,1,1.1,8,0,1,8,1,2.0,,8,1.6,8,1,,0,6.9,8,ìÏìÏìå,8,1,,0
2023/2/23,7.1,8,1,6.0,8,13.0,8,1,11.5,8,3.2,8,1,1.2,8,0.5,0,8,1,2.1,,8,1.5,8,1,,0,5.1,8,ìÏ,8,1,,0
2023/2/24,7.3,8,1,6.2,8,10.4,8,1,11.6,8,5.4,8,1,1.3,8,1.0,0,8,1,2.1,,8,1.8,8,1,,0,9.1,8,ñkñkêº,8,1,,0
2023/2/25,5.0,8,1,6.3,8,9.3,8,1,11.8,8,0.6,8,1,1.4,8,0,1,8,1,2.2,,8,3.4,8,1,,0,10.6,8,ñkñkêº,8,1,,0
2023/2/26,4.2,8,1,6.4,8,10.1,8,1,11.9,8,-1.3,8,1,1.6,8,0,1,8,1,2.3,,8,3.1,8,1,,0,11.8,8,ñkñkêº,8,1,,0
2023/2/27,5.4,8,1,6.6,8,14.3,8,1,12.1,8,-2.1,8,1,1.7,8,0,1,8,1,2.3,,8,1.4,8,1,,0,5.6,8,ìÏìÏìå,8,1,,0
2023/2/28,7.5,8,1,6.7,8,17.1,8,1,12.2,8,-0.8,8,1,1.8,8,0,1,8,1,2.4,,8,2.3,8,1,,0,12.5,8,ìÏêº,8,1,,0
2023/3/1,10.7,8,1,6.8,8,19.1,8,1,12.3,8,2.8,8,1,1.9,8,3.0,0,8,1,2.4,,8,2.4,8,1,,0,14.1,8,ìÏìÏêº,8,1,,0
2023/3/2,7.5,8,1,7.0,8,11.0,8,1,12.5,8,2.3,8,1,2.1,8,0.5,0,8,1,2.5,,8,5.1,8,1,,0,19.1,8,êºñkêº,8,1,,0
2023/3/3,5.6,8,1,7.1,8,12.3,8,1,12.6,8,-1.0,8,1,2.1,8,0,1,8,1,2.5,,8,2.1,8,1,,0,7.4,8,êºìÏêº,8,1,,0
2023/3/4,8.3,8,1,7.2,8,15.8,8,1,12.8,8,1.3,8,1,2.2,8,0,1,8,1,2.6,,8,1.8,8,1,,0,6.8,8,ìÏìÏìå,8,1,,0
2023/3/5,9.1,8,1,7.3,8,15.5,8,1,12.9,8,3.9,8,1,2.3,8,0,1,8,1,2.6,,8,2.0,8,1,,0,7.5,8,ìÏ,8,1,,0
2023/3/6,8.8,8,1,7.4,8,17.4,8,1,13.1,8,1.4,8,1,2.4,8,0,1,8,1,2.6,,8,1.9,8,1,,0,7.5,8,ìÏêº,8,1,,0
2023/3/7,10.2,8,1,7.5,8,19.0,8,1,13.2,8,2.0,8,1,2.4,8,0,1,8,1,2.6,,8,1.8,8,1,,0,8.1,8,ìÏ,8,1,,0
2023/3/8,11.4,8,1,7.6,8,20.0,8,1,13.3,8,4.7,8,1,2.5,8,0,1,8,1,2.5,,8,1.6,8,1,,0,5.8,8,ìåìÏìå,8,1,,0
2023/3/9,12.5,8,1,7.7,8,19.4,8,1,13.5,8,5.8,8,1,2.5,8,0,1,8,1,2.5,,8,1.5,8,1,,0,5.9,8,ìåìÏìå,8,1,,0
2023/3/10,15.1,8,1,7.8,8,23.4,8,1,13.6,8,8.2,8,1,2.6,8,0,1,8,1,2.5,,8,1.6,8,1,,0,8.6,8,ìÏìÏêº,8,1,,0
2023/3/11,15.0,8,1,7.9,8,23.9,8,1,13.8,8,7.6,8,1,2.7,8,0,1,8,1,2.5,,8,1.7,8,1,,0,6.1,8,ìÏìå,8,1,,0
2023/3/12,15.5,8,1,8.0,8,22.3,8,1,14.0,8,9.1,8,1,2.8,8,1.0,0,8,1,2.5,,8,2.5,8,1,,0,7.9,8,ìåìÏìå,8,1,,0
2023/3/13,8.8,8,1,8.2,8,14.0,8,1,14.1,8,3.5,8,1,2.9,8,5.5,0,8,1,2.5,,8,4.3,8,1,,0,17.9,8,êº,8,1,,0
2023/3/14,7.7,8,1,8.3,8,16.1,8,1,14.3,8,0.4,8,1,3.0,8,0,1,8,1,2.5,,8,1.6,8,1,,0,4.9,8,ìÏêº,8,1,,0
2023/3/15,11.0,8,1,8.5,8,19.3,8,1,14.5,8,2.1,8,1,3.1,8,0,1,8,1,2.6,,8,1.7,8,1,,0,6.6,8,ìå,8,1,,0
2023/3/16,14.0,8,1,8.6,8,21.9,8,1,14.6,8,7.6,8,1,3.3,8,0.0,0,8,1,2.6,,8,1.9,8,1,,0,10.4,8,ìÏìÏêº,8,1,,0
2023/3/17,12.7,8,1,8.8,8,16.5,8,1,14.8,8,9.2,8,1,3.4,8,0.5,0,8,1,2.7,,8,2.8,8,1,,0,7.6,8,ìÏìå,8,1,,0
2023/3/18,10.0,8,1,8.9,8,14.7,8,1,14.9,8,5.6,8,1,3.5,8,19.0,0,8,1,2.8,,8,2.9,8,1,,0,13.4,8,ñkñkêº,8,1,,0
2023/3/19,9.8,8,1,9.1,8,17.8,8,1,15.0,8,2.7,8,1,3.7,8,0,1,8,1,2.8,,8,1.8,8,1,,0,9.5,8,ìÏìÏêº,8,1,,0
2023/3/20,11.6,8,1,9.2,8,18.9,8,1,15.2,8,4.4,8,1,3.8,8,0,1,8,1,2.8,,8,2.1,8,1,,0,8.3,8,ìÏìå,8,1,,0
2023/3/21,12.6,8,1,9.3,8,14.5,8,1,15.3,8,9.7,8,1,4.0,8,0.0,0,8,1,2.9,,8,2.1,8,1,,0,6.7,8,ìåìÏìå,8,1,,0
2023/3/22,18.0,8,1,9.5,8,23.1,8,1,15.4,8,13.4,8,1,4.1,8,0,1,8,1,2.9,,8,3.1,8,1,,0,11.0,8,ìå,8,1,,0
2023/3/23,17.1,8,1,9.6,8,19.1,8,1,15.5,8,15.7,8,1,4.3,8,25.5,0,8,1,2.9,,8,4.2,8,1,,0,11.7,8,ìåñkìå,8,1,,0
2023/3/24,16.8,8,1,9.8,8,20.7,8,1,15.7,8,13.5,8,1,4.4,8,0.0,0,8,1,2.8,,8,2.9,8,1,,0,9.7,8,ñkñkêº,8,1,,0
2023/3/25,12.9,8,1,9.9,8,16.7,8,1,15.8,8,10.2,8,1,4.5,8,2.0,0,8,1,2.8,,8,2.7,8,1,,0,7.3,8,ñk,8,1,,0
2023/3/26,11.1,8,1,10.1,8,13.2,8,1,16.0,8,8.3,8,1,4.7,8,13.5,0,8,1,2.8,,8,2.4,8,1,,0,6.8,8,ìåñkìå,8,1,,0
2023/3/27,11.2,8,1,10.3,8,16.7,8,1,16.1,8,5.5,8,1,4.8,8,0,1,8,1,2.7,,8,1.8,8,1,,0,7.1,8,ìÏìÏêº,8,1,,0
2023/3/28,12.7,8,1,10.4,8,20.2,8,1,16.3,8,5.8,8,1,5.0,8,0,1,8,1,2.7,,8,2.3,8,1,,0,9.0,8,ñk,8,1,,0
2023/3/29,11.9,8,1,10.6,8,19.7,8,1,16.5,8,4.6,8,1,5.2,8,0,1,8,1,2.6,,8,1.8,8,1,,0,7.7,8,ìÏìÏêº,8,1,,0
2023/3/30,12.9,8,1,10.9,8,20.5,8,1,16.7,8,5.4,8,1,5.4,8,0,1,8,1,2.6,,8,1.8,8,1,,0,6.0,8,ìåìÏìå,8,1,,0
2023/3/31,14.5,8,1,11.1,8,22.2,8,1,16.9,8,8.6,8,1,5.6,8,0,1,8,1,2.6,,8,1.9,8,1,,0,7.0,8,ìåìÏìå,8,1,,0
2023/4/1,15.9,8,1,11.3,8,24.3,8,1,17.1,8,8.0,8,1,5.8,8,0,1,8,1,2.7,,8,2.0,8,1,,0,7.2,8,ìåìÏìå,8,1,,0
2023/4/2,15.0,8,1,11.5,8,23.0,8,1,17.3,8,8.5,8,1,6.0,8,0,1,8,1,2.7,,8,2.9,8,1,,0,12.0,8,ñk,8,1,,0
2023/4/3,13.6,8,1,11.7,8,20.7,8,1,17.5,8,6.1,8,1,6.2,8,0,1,8,1,2.7,,8,2.4,8,1,,0,7.4,8,ìåìÏìå,8,1,,0
2023/4/4,14.4,8,1,11.9,8,22.5,8,1,17.7,8,6.2,8,1,6.4,8,0,1,8,1,2.8,,8,2.4,8,1,,0,8.5,8,ìÏìÏìå,8,1,,0
2023/4/5,15.0,8,1,12.2,8,18.1,8,1,17.9,8,13.7,8,1,6.6,8,5.5,0,8,1,2.9,,8,3.6,8,1,,0,9.7,8,ìåìÏìå,8,1,,0
2023/4/6,17.9,8,1,12.4,8,23.1,8,1,18.1,8,14.2,8,1,6.8,8,1.0,0,8,1,2.9,,8,2.1,8,1,,0,6.5,8,ìåñkìå,8,1,,0
2023/4/7,14.9,8,1,12.6,8,16.8,8,1,18.3,8,9.6,8,1,7.0,8,40.0,0,8,1,3.0,,8,3.2,8,1,,0,9.8,8,êºñkêº,8,1,,0
2023/4/8,11.2,8,1,12.8,8,16.6,8,1,18.5,8,6.6,8,1,7.2,8,0.0,0,8,1,3.1,,8,5.4,8,1,,0,17.7,8,êºñkêº,8,1,,0
2023/4/9,11.9,8,1,13.0,8,19.8,8,1,18.6,8,4.0,8,1,7.4,8,0,1,8,1,3.1,,8,2.3,8,1,,0,9.9,8,ìÏ,8,1,,0
2023/4/10,13.9,8,1,13.1,8,22.2,8,1,18.8,8,6.2,8,1,7.6,8,0,1,8,1,3.2,,8,2.4,8,1,,0,9.6,8,ìÏìÏêº,8,1,,0
2023/4/11,16.7,8,1,13.3,8,23.7,8,1,19.0,8,8.5,8,1,7.7,8,0,1,8,1,3.2,,8,2.1,8,1,,0,8.5,8,ìÏìå,8,1,,0
2023/4/12,15.7,8,1,13.5,8,20.3,8,1,19.2,8,9.9,8,1,7.9,8,4.5,0,8,1,3.2,,8,2.2,8,1,,0,9.3,8,ñk,8,1,,0
2023/4/13,13.7,8,1,13.7,8,22.6,8,1,19.4,8,6.2,8,1,8.1,8,0,1,8,1,3.2,,8,2.0,8,1,,0,7.4,8,ìÏìå,8,1,,0
2023/4/14,14.6,8,1,13.9,8,20.7,8,1,19.6,8,8.7,8,1,8.3,8,8.5,0,8,1,3.2,,8,1.8,8,1,,0,5.9,8,ìÏ,8,1,,0
2023/4/15,13.7,8,1,14.1,8,15.1,8,1,19.8,8,11.9,8,1,8.5,8,33.5,0,8,1,3.2,,8,3.4,8,1,,0,10.2,8,ìåñkìå,8,1,,0
2023/4/16,14.3,8,1,14.3,8,21.0,8,1,20.0,8,10.0,8,1,8.7,8,0.0,0,8,1,3.2,,8,4.0,8,1,,0,15.9,8,êºñkêº,8,1,,0
2023/4/17,13.7,8,1,14.5,8,19.4,8,1,20.2,8,7.9,8,1,8.9,8,0,1,8,1,3.1,,8,3.4,8,1,,0,10.7,8,ìÏêº,8,1,,0
2023/4/18,15.0,8,1,14.7,8,22.2,8,1,20.4,8,8.4,8,1,9.1,8,0.0,0,8,1,3.1,,8,2.1,8,1,,0,9.9,8,ìÏìå,8,1,,0
2023/4/19,15.8,8,1,14.8,8,18.4,8,1,20.5,8,14.3,8,1,9.3,8,3.0,0,8,1,3.1,,8,1.7,8,1,,0,8.3,8,ìÏìÏìå,8,1,,0
2023/4/20,18.2,8,1,15.0,8,25.7,8,1,20.7,8,13.8,8,1,9.5,8,0.0,0,8,1,3.1,,8,1.8,8,1,,0,6.4,8,ìÏìå,8,1,,0
2023/4/21,17.7,8,1,15.2,8,26.8,8,1,20.9,8,13.0,8,1,9.7,8,0,1,8,1,3.1,,8,2.9,8,1,,0,13.6,8,ñkñkêº,8,1,,0
2023/4/22,13.7,8,1,15.3,8,20.5,8,1,21.1,8,8.2,8,1,9.9,8,0,1,8,1,3.1,,8,4.9,8,1,,0,16.2,8,ñk,8,1,,0
2023/4/23,13.6,8,1,15.5,8,20.5,8,1,21.3,8,5.6,8,1,10.1,8,0,1,8,1,3.1,,8,2.4,8,1,,0,7.9,8,ñkñkìå,8,1,,0
2023/4/24,12.8,8,1,15.7,8,15.7,8,1,21.4,8,9.9,8,1,10.3,8,0,1,8,1,3.0,,8,2.3,8,1,,0,8.1,8,ñkìå,8,1,,0
2023/4/25,11.5,8,1,15.8,8,16.9,8,1,21.6,8,7.9,8,1,10.5,8,11.5,0,8,1,3.0,,8,4.0,8,1,,0,16.5,8,ìåìÏìå,8,1,,0
2023/4/26,15.8,8,1,16.0,8,20.4,8,1,21.8,8,10.7,8,1,10.7,8,35.0,0,8,1,2.9,,8,4.3,8,1,,0,16.8,8,ìÏìå,8,1,,0
2023/4/27,14.7,8,1,16.2,8,22.4,8,1,22.1,8,7.1,8,1,10.9,8,0,1,8,1,2.9,,8,2.0,5,1,,0,6.8,5,ìÏìÏìå,5,1,,0
2023/4/28,15.5,8,1,16.4,8,23.0,8,1,22.3,8,8.7,8,1,11.2,8,0,1,8,1,2.8,,8,2.2,8,1,,0,7.8,8,ìÏìå,8,1,,0
2023/4/29,17.4,8,1,16.7,8,22.1,8,1,22.5,8,12.7,8,1,11.4,8,4.0,0,8,1,2.8,,8,2.7,8,1,,0,7.4,8,ìÏìå,8,1,,0
2023/4/30,17.5,8,1,16.9,8,21.5,8,1,22.7,8,12.8,8,1,11.7,8,14.0,0,8,1,2.8,,8,3.7,8,1,,0,10.1,8,ìÏêº,8,1,,0
2023/5/1,16.0,8,1,17.1,8,23.6,8,1,22.9,8,9.6,8,1,12.0,8,0,1,8,1,2.8,,8,4.0,8,1,,0,15.4,8,êºñkêº,8,1,,0
2023/5/2,15.8,8,1,17.3,8,23.8,8,1,23.1,8,7.4,8,1,12.3,8,0,1,8,1,2.8,,8,2.2,8,1,,0,7.7,8,ìÏ,8,1,,0
2023/5/3,17.0,8,1,17.5,8,24.1,8,1,23.3,8,9.7,8,1,12.5,8,0,1,8,1,2.9,,8,2.4,8,1,,0,8.1,8,ìå,8,1,,0
2023/5/4,19.3,8,1,17.7,8,25.4,8,1,23.5,8,13.7,8,1,12.8,8,0,1,8,1,3.0,,8,2.4,8,1,,0,8.0,8,ìÏìå,8,1,,0
2023/5/5,19.9,8,1,17.8,8,25.4,8,1,23.6,8,14.9,8,1,13.0,8,0.0,0,8,1,3.1,,8,2.4,8,1,,0,7.3,8,ìÏìå,8,1,,0
2023/5/6,20.3,8,1,18.0,8,26.4,8,1,23.7,8,16.3,8,1,13.2,8,13.5,0,8,1,3.2,,8,2.5,8,1,,0,7.0,8,ìåìÏìå,8,1,,0
2023/5/7,17.0,8,1,18.1,8,19.4,8,1,23.8,8,13.4,8,1,13.4,8,83.5,0,8,1,3.4,,8,2.9,8,1,,0,11.3,8,ñkñkêº,8,1,,0
